crab_year,DCRB_lbs,DCRB_rev,Num_DCRB_Vessels,Num_DCRB_VMS_pings,risk_humpback,risk_blue,risk_both,n_risk_humpback,n_risk_blue,n_risk_both,scenario_df_name,delay_scenario,closure_scenario,preseason.days,season.st.backstop,early.data.method,delay.date,delay.region,delay.method,delay.method.fidelity,closure.date,closure.region,closure.method,closure.redist.percent,depth.shallow,depth.deep,reduction.before.date,reduction.before.percent,reduction.before.region,reduction.after.date,reduction.after.percent,reduction.after.region,reduction.after.redist,reduction.after.redist.percent,scenario_number,pretty_scenario_names,plotting_year,pre_post
2009_2010,3713033.273287936,7463000.100503887,1589.969241403458,34082,196.28459529521757,163.98660817321883,180.1356017342182,0.07000864734773388,0.10841510917683457,0.08921187826228422,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2010,2009-2014
2010_2011,6272151.478070083,12804967.102891421,1969.3596672596616,44135,352.26239711936887,155.98591705367494,254.1241570865219,0.12958772875677443,0.10435577259702984,0.11697175067690213,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2011,2009-2014
2011_2012,7824788.574626866,23012805.087880597,2151.668656716418,48529,268.9663518192014,74.92305605567687,171.94470393743913,0.09890574857824826,0.047527759411130174,0.07321675399468922,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2012,2009-2014
2012_2013,4623858,13376885.742,1549,30484,334.97662584852293,120.45378169944946,227.7152037739862,0.12098469811829148,0.0816310630018229,0.10130788056005718,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2013,2009-2014
2013_2014,2344183.195870136,8035839.807610408,1304.8225113392218,24724,315.9936052324457,106.46664792879868,211.2301265806222,0.10860878878374639,0.06992764154583972,0.08926821516479305,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2014,2009-2014
2014_2015,2665403.064959828,9740518.916829906,1330.346224187372,28663,875.2937950149494,310.1016214431866,592.697708229068,0.3152682503404431,0.21612319705032557,0.2656957236953843,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2015,2014-2018
2015_2016,3282749.019433025,10663482.752183886,1113.3444173758085,28090,582.61772084156,347.6364588146593,465.12708982810966,0.21564473882555155,0.24535434505976875,0.23049954194266015,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2016,2014-2018
2016_2017,6875637.016615044,21894185.406391405,2274.778202512456,57493,959.5164651422928,360.44698661379886,659.9817258780458,0.35373712654152795,0.2527439245052569,0.3032405255233924,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2017,2014-2018
2017_2018,6839540.108355362,22700733.87088052,1868.056839172677,47036,728.0156539992062,213.3399324088686,470.67779320403736,0.26623139880823765,0.14650146414769868,0.20636643147796818,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2018,2014-2018
2018_2019,3056989.15,10532035.360000001,987,28305,270.487770894385,62.43393680752549,166.46085385095523,0.09647268904153675,0.04078171490344902,0.06862720197249289,No_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,No_Delay,No_Early_Closure,3,NULL,remove,NULL,NULL,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,sq,Status Quo,2019,2018-2019
2009_2010,3671385.273287936,7334908.626503888,1521.969241403458,33047,168.33876402953948,149.12680197769942,158.73278300361943,0.06027088547234842,0.100086816842126,0.08017885115723722,Statewide_Marine_Life_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,Statewide_Marine_Life_Delay,No_Early_Closure,3,NULL,remove,2009-12-15,All,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,1,Delay Statewide,2010,2009-2014
2010_2011,6241959.166958972,12691060.372891422,1913.8279679132563,43243,259.30411590581343,94.77343962144147,177.03877776362745,0.09443557502363857,0.06061152141181505,0.0775235482177268,Statewide_Marine_Life_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,Statewide_Marine_Life_Delay,No_Early_Closure,3,NULL,remove,2009-12-15,All,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,1,Delay Statewide,2011,2009-2014
2011_2012,7802684.574626866,22926567.117880598,2121.668656716418,48115,227.0590976940798,56.55792872236903,141.8085132082244,0.08330855328582944,0.03485744889231774,0.05908300108907359,Statewide_Marine_Life_Delay_No_Early_Closure_delay_method_fidelity_spatial_closure_redist_percent_100,Statewide_Marine_Life_Delay,No_Early_Closure,3,NULL,remove,2009-12-15,All,lag,spatial,NULL,NULL,temporal,100,NULL,NULL,NULL,50,NULL,NULL,50,NULL,FALSE,0,1,Delay Statewide,2012,2009-2014
